machine_translated_fields,subject_en,spatial_representation_type_en,collection_en,frequency_en,id,jurisdiction_en,keywords_en,license_id_en,maintainer,maintainer_email,metadata_created,metadata_modified,name,org_title_at_publication_en,owner_org_en,formats_en,resource_date_published,resource_size,resource_url,resource_character_set_en,resource_language_en,resource_format_en,resource_related_type_en,resource_related_relationship_en,resource_type_en,resource_data_quality_en,restrictions,spatial,time_period_coverage_end,time_period_coverage_start,title_translated_eng,topic_category_en,dataset_type_en,org_section_en,program_page_url_en
"-","['Nature and Environment']","['Vector']","Open Maps","Not Planned","036e5978-c82c-46f5-ac6b-158a876dc65a","Federal","['Hydrology', 'Water management', 'Water supply', 'Watersheds']","Open Government Licence - Canada","-","NAIS-SNIA@agr.gc.ca","2016-09-24T00:36:34.938Z","2023-02-06T17:53:00.644Z","036e5978-c82c-46f5-ac6b-158a876dc65a","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'FGDB/GDB', 'GEOJSON', 'PDF']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/AnnualUnitRunoff2013/data_donnees/fgdb/', 'https://agriculture.canada.ca/atlas/data_donnees/AnnualUnitRunoff2013/data_donnees/geojson/', 'https://agriculture.canada.ca/atlas/data_donnees/AnnualUnitRunoff2013/supportdocument_documentdesupport/en/AUR_Report_Final.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/AnnualUnitRunoff2013/supportdocument_documentdesupport/en/ISO_19131_AAFC_Annual_Unit_Runoff_in_Canada_2013_Data_Product_Specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/AnnualUnitRunoff2013/supportdocument_documentdesupport/fr/Ruissellement_unitaire_annuel_au_Canada_selon_AAC_2013_Specifications_de_contenu_informationnel_produite_conformement_a_la_norme_ISO_19131.pdf', 'https://agriculture.canada.ca/atlas/rest/services/mapservices/aafc_annual_unit_runoff_2013/MapServer/0', 'https://agriculture.canada.ca/atlas/rest/services/servicesdecarte/aac_ruissellement_unitaire_annuel_2013/MapServer/0']","['-']","['English', 'French']","['ESRI REST', 'FGDB/GDB', 'GEOJSON', 'PDF']","['-']","['-']","['Dataset', 'Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-132.0, 36.0], [-52.0, 36.0], [-52.0, 90.0], [-132.0, 90.0], [-132.0, 36.0]]]}","2013-12-31 00:00:00","2013-01-01 00:00:00","Stations used for Unit Runoff Analysis","Environment","Open Data","-","-"
"-","['Agriculture']","['Vector']","Open Maps","Annually","05870f11-a52a-4bf4-bc15-910fd0b8a1a3","Federal","['Grain elevators', 'Rail transport', 'Railways']","Open Government Licence - Canada","-","agri-geomatics-agrog@agr.gc.ca","2016-09-24T00:53:53.506Z","2024-02-15T19:10:12.009Z","05870f11-a52a-4bf4-bc15-910fd0b8a1a3","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'FGDB/GDB', 'GEOJSON', 'PDF']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/cgcElevators/data_donnees/fgdb/', 'https://agriculture.canada.ca/atlas/data_donnees/cgcElevators/data_donnees/geoJSON/', 'https://agriculture.canada.ca/atlas/data_donnees/cgcElevators/supportdocument_documentdesupport/en/ISO_19131_Grain_Elevators_in_Canada_Data_Product_Specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/cgcElevators/supportdocument_documentdesupport/fr/Les_silos_a_grains_au_Canada_Specifications_de_contenu_informationnel_ISO_19131.pdf', 'https://services.arcgis.com/lGOekm0RsNxYnT3j/ArcGIS/rest/services/Grain_Elevators_in_Canada/FeatureServer/', 'https://services.arcgis.com/lGOekm0RsNxYnT3j/arcgis/rest/services/Les_Silos_%C3%A0_grains_du_Canada_2/FeatureServer']","['-']","['English', 'French']","['ESRI REST', 'FGDB/GDB', 'GEOJSON', 'PDF']","['-']","['-']","['Dataset', 'Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-132.0, 36.0], [-52.0, 36.0], [-52.0, 90.0], [-132.0, 90.0], [-132.0, 36.0]]]}","-","2016-06-01 00:00:00","Grain Elevators in Canada","Farming","Open Data","-","-"
"-","['Agriculture']","['Vector']","Open Maps","As Needed","05ec55f9-9049-4e5e-831a-1db8052df8db","Federal","['Agriculture statistics', 'Crops', 'Farms']","Open Government Licence - Canada","-","agri-geomatics-agrog@agr.gc.ca","2023-03-06T22:41:50.073Z","2024-11-14T17:40:46.822Z","05ec55f9-9049-4e5e-831a-1db8052df8db","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'GeoTIF', 'HTML', 'PDF']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/data_donnees/tif/crop_spatial_density_beans.zip', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/maps_cartes/Beans/', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/supportdocument_documentdesupport/en/ISO_19131_Spatial_Density_Major_Crops_Data_Product_Specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/supportdocument_documentdesupport/fr/ISO_19131_Densite_spatiale_des_grandes_cultures.pdf', 'https://agriculture.canada.ca/atlas/dcrops', 'https://agriculture.canada.ca/atlas/dcultures', 'https://tiles.arcgis.com/tiles/lGOekm0RsNxYnT3j/arcgis/rest/services/Spatial_Density_of_Beans_Densit%C3%A9_spatiale_des_haricots/MapServer']","['-']","['English', 'French', 'No linguistic content; Not applicable']","['ESRI REST', 'GeoTIF', 'HTML', 'PDF']","['-']","['-']","['Application', 'Dataset', 'Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-132.0, 36.0], [-60.0, 36.0], [-60.0, 60.0], [-132.0, 60.0], [-132.0, 36.0]]]}","2021-12-31 00:00:00","2009-01-01 00:00:00","Spatial Density of Beans in Canada","Farming","Open Data","-","-"
"-","['Nature and Environment']","['Vector']","Open Maps","Unknown","063ee9b6-b3f2-45ab-9bed-d330880064d5","Federal","['Drainage', 'Hydrology', 'Inland waters', 'Water', 'Watersheds', 'Western provinces']","Open Government Licence - Canada","-","Agri-Geomatics-Agrog@agr.gc.ca","2016-09-24T00:59:47.640Z","2024-10-08T20:43:37.448Z","063ee9b6-b3f2-45ab-9bed-d330880064d5","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'FGDB/GDB', 'GEOJSON', 'PDF', 'WMS']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/watersheds2013/data_donnees/fgdb/HYD_AAFC_GROSS_EFF_LINE_FGDB.zip', 'https://agriculture.canada.ca/atlas/data_donnees/watersheds2013/data_donnees/geojson/HYD_AAFC_GROSS_EFF_LINE.zip', 'https://agriculture.canada.ca/atlas/data_donnees/watersheds2013/supportdocument_documentdesupport/en/ISO_19131_AAFC_Watersheds_Project_2013_Data_Product_Specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/watersheds2013/supportdocument_documentdesupport/fr/Projet_des_bassins_hydrographiques_d_AAC_2013_Specifications_de_contenu_informationnel_ISO_19131.pdf', 'https://agriculture.canada.ca/atlas/rest/services/mapservices/aafc_watershed_2013/MapServer/2', 'https://agriculture.canada.ca/atlas/rest/services/servicesdecarte/aac_bassin_hydrographique_2013/MapServer/2', 'https://agriculture.canada.ca/atlas/services/mapservices/aafc_watershed_2013/MapServer/WMSServer?request=GetCapabilities&service=WMS&layers=12&legend_format=image/png&feature_info_type=text/html', 'https://agriculture.canada.ca/atlas/services/servicesdecarte/aac_bassin_hydrographique_2013/MapServer/WMSServer?request=GetCapabilities&service=WMS&layers=12&legend_format=image/png&feature_info_type=text/html']","['-']","['English', 'French']","['ESRI REST', 'FGDB/GDB', 'GEOJSON', 'PDF', 'WMS']","['-']","['-']","['Dataset', 'Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-124.0, 45.0], [-90.0, 45.0], [-90.0, 61.0], [-124.0, 61.0], [-124.0, 45.0]]]}","-","2013-01-01 00:00:00","Gross and effective drainage area boundaries of the AAFC Watersheds project - 2013","Inland Waters","Open Data","-","-"
"-","['Nature and Environment', 'Science and Technology']","['Grid', 'Vector']","Open Maps","As Needed","07875f11-c342-4450-bdaa-0cdeaf43c0c9","Federal","['Agriculture', 'CH', 'Crops', 'Farmlands', 'Precipitation', 'Temperature', 'agclimate']","Open Government Licence - Canada","-","agri-geomatics-agrog@agr.gc.ca","2016-09-24T01:10:18.009Z","2024-09-10T20:10:26.525Z","07875f11-c342-4450-bdaa-0cdeaf43c0c9","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'GeoTIF', 'HTML', 'PDF', 'WMS']","['-']","['-']","['https://agriculture.canada.ca/atlas/agclimat', 'https://agriculture.canada.ca/atlas/agclimate', 'https://agriculture.canada.ca/atlas/data_donnees/agClimate/data_donnees/tif/ch/', 'https://agriculture.canada.ca/atlas/data_donnees/agClimate/supportdocument_documentdesupport/en/ISO_19131_AgClimate_-_Data_Product_Specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/agClimate/supportdocument_documentdesupport/en/Using%20AAFC%20Climate%20Services.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/agClimate/supportdocument_documentdesupport/fr/Donnees_agroclimat_-_SPC.pdf', ""https://agriculture.canada.ca/atlas/data_donnees/agClimate/supportdocument_documentdesupport/fr/Utilisation%20des%20services%20climatologiques%20d'AAC.pdf"", 'https://agriculture.canada.ca/atlas/rest/services/app_agclimate_agclimat/agclimate_ch/ImageServer', 'https://agriculture.canada.ca/atlas/services/app_agclimate_agclimat/agclimate_ch/ImageServer/WMSServer?request=GetCapabilities&service=WMS']","['-']","['English', 'French', 'No linguistic content; Not applicable']","['ESRI REST', 'GeoTIF', 'HTML', 'PDF', 'WMS']","['-']","['-']","['Application', 'Dataset', 'Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-132.0, 36.0], [-52.0, 36.0], [-52.0, 90.0], [-132.0, 90.0], [-132.0, 36.0]]]}","-","2012-09-03 00:00:00","Crop (corn) heat units","Climatology Meteorology Atmosphere","Open Data","-","-"
"-","['Agriculture']","['Grid']","Open Maps","As Needed","07fc840d-69de-4d23-af0d-51d6df042d8a","Federal","['Agriculture', 'Crops']","Open Government Licence - Canada","-","agri-geomatics-agrog@agr.gc.ca","2020-07-31T18:22:05.324Z","2023-02-23T16:28:44.440Z","07fc840d-69de-4d23-af0d-51d6df042d8a","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'PDF', 'WMS']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/cropHealthIndices/supportdocument_documentdesupport/en/ISO_19131_Crop_Health_Indices_-_Data_Product_specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/cropHealthIndices/supportdocument_documentdesupport/fr/Indices_de%20sant%c3%a9_des_cultures_SPC.pdf', 'https://agriculture.canada.ca/atlas/rest/services/imageservices/crop_health_indices/ImageServer', 'https://agriculture.canada.ca/atlas/services/imageservices/crop_health_indices/ImageServer/WMSServer?request=GetCapabilities&service=WMS&layers=0&legend_format=image/png']","['-']","['English', 'French', 'No linguistic content; Not applicable']","['ESRI REST', 'PDF', 'WMS']","['-']","['-']","['Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-141.003, 41.6755], [-52.6174, 41.6755], [-52.6174, 83.1139], [-141.003, 83.1139], [-141.003, 41.6755]]]}","-","1976-12-01 00:00:00","Crop Stress Index","Farming","Open Data","-","-"
"-","['Form Descriptors', 'Nature and Environment', 'Science and Technology']","['Text Table', 'Vector']","Open Maps","Not Planned","083534ca-d5b0-46f5-b540-f3a706dbc2de","Federal","['Agriculture', 'Crops', 'Farmlands', 'Precipitation', 'Temperature']","Open Government Licence - Canada","-","aafc.cansis-siscan.aac@agr.gc.ca","2016-09-24T01:15:59.316Z","2024-09-10T20:10:30.026Z","083534ca-d5b0-46f5-b540-f3a706dbc2de","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['CSV', 'FGDB/GDB', 'GEOJSON', 'PDF']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/detailedSoilSurvey/data_donnees/csv/ns_detailedsoils_csv.zip', 'https://agriculture.canada.ca/atlas/data_donnees/detailedSoilSurvey/data_donnees/fgdb/ns_detailed_soils_gdb.zip', 'https://agriculture.canada.ca/atlas/data_donnees/detailedSoilSurvey/data_donnees/geoJSON/ns_detailed_soils_geoJSON.zip', 'https://agriculture.canada.ca/atlas/data_donnees/detailedSoilSurvey/supportdocument_documentdesupport/en/ISO_19131_Detailed_Soil_Surveys_Data_Product_Specifications.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/detailedSoilSurvey/supportdocument_documentdesupport/fr/Leves_pedologiques_detailles_ISO_19131.pdf']","['-']","['English', 'French']","['CSV', 'FGDB/GDB', 'GEOJSON', 'PDF']","['-']","['-']","['Dataset', 'Guide']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-66.0, 43.0], [-60.0, 43.0], [-60.0, 47.0], [-66.0, 47.0], [-66.0, 43.0]]]}","-","2013-01-01 00:00:00","Nova Scotia Detailed Soil Survey","Geoscientific Information","Open Data","-","-"
"-","['Agriculture']","['Vector']","Open Maps","As Needed","08ba1d1c-4985-46d4-be2d-495005689db2","Federal","['Agricultural statistics', 'Agriculture statistics', 'Crops', 'Farms']","Open Government Licence - Canada","-","agri-geomatics-agrog@agr.gc.ca","2016-09-24T01:20:29.400Z","2024-11-14T17:41:01.168Z","08ba1d1c-4985-46d4-be2d-495005689db2","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'GeoTIF', 'HTML', 'PDF']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/data_donnees/tif/crop_spatial_density_barley.zip', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/maps_cartes/Barley/', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/supportdocument_documentdesupport/en/ISO_19131_Spatial_Density_Major_Crops_Data_Product_Specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/supportdocument_documentdesupport/fr/ISO_19131_Densite_spatiale_des_grandes_cultures.pdf', 'https://agriculture.canada.ca/atlas/dcrops', 'https://agriculture.canada.ca/atlas/dcultures', 'https://tiles.arcgis.com/tiles/lGOekm0RsNxYnT3j/arcgis/rest/services/Spatial_Density_of_Barley_Densit%C3%A9_spatiale_de_l%E2%80%99orge/MapServer']","['-']","['English', 'French', 'No linguistic content; Not applicable']","['ESRI REST', 'GeoTIF', 'HTML', 'PDF']","['-']","['-']","['Application', 'Dataset', 'Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-132.0, 36.0], [-60.0, 36.0], [-60.0, 60.0], [-132.0, 60.0], [-132.0, 36.0]]]}","2021-12-31 00:00:00","2009-01-01 00:00:00","Spatial Density of Barley in Canada","Farming","Open Data","-","-"
"-","['Agriculture']","['Vector']","Open Maps","As Needed","0a8b89c1-d74c-492d-8bf6-26fad5f51290","Federal","['Agriculture statistics', 'Crops', 'Farms']","Open Government Licence - Canada","-","agri-geomatics-agrog@agr.gc.ca","2023-03-06T22:41:42.153Z","2024-11-14T17:40:43.959Z","0a8b89c1-d74c-492d-8bf6-26fad5f51290","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'GeoTIF', 'HTML', 'PDF']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/data_donnees/tif/crop_spatial_density_springwheat.zip', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/maps_cartes/Spring_Wheat/', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/supportdocument_documentdesupport/en/ISO_19131_Spatial_Density_Major_Crops_Data_Product_Specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/cropSpatialDensity/supportdocument_documentdesupport/fr/ISO_19131_Densite_spatiale_des_grandes_cultures.pdf', 'https://agriculture.canada.ca/atlas/dcrops', 'https://agriculture.canada.ca/atlas/dcultures', 'https://tiles.arcgis.com/tiles/lGOekm0RsNxYnT3j/arcgis/rest/services/Spatial_Density_of_Spring_Wheat_Densit%C3%A9_spatiale_du_bl%C3%A9_de_printemps/MapServer']","['-']","['English', 'French', 'No linguistic content; Not applicable']","['ESRI REST', 'GeoTIF', 'HTML', 'PDF']","['-']","['-']","['Application', 'Dataset', 'Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-132.0, 36.0], [-60.0, 36.0], [-60.0, 60.0], [-132.0, 60.0], [-132.0, 36.0]]]}","2021-12-31 00:00:00","2009-01-01 00:00:00","Spatial Density of Spring Wheat in Canada","Farming","Open Data","-","-"
"-","['Agriculture']","['Vector']","Open Maps","Not Planned","0b2303be-ef05-49a8-8082-44a3eabcfa57","Federal","['Agriculture', 'Crops', 'Farmlands', 'Land cover', 'Terrestrial ecosystems']","Open Government Licence - Canada","-","agri-geomatics-agrog@agr.gc.ca","2016-09-24T01:40:24.578Z","2023-02-23T16:28:22.542Z","0b2303be-ef05-49a8-8082-44a3eabcfa57","Agriculture and Agri-Food Canada","Agriculture and Agri-Food Canada","['ESRI REST', 'FGDB/GDB', 'GEOJSON', 'PDF', 'WMS']","['-']","['-']","['https://agriculture.canada.ca/atlas/data_donnees/prairieAgriculturalLandscapes/data_donnees/fgdb/', 'https://agriculture.canada.ca/atlas/data_donnees/prairieAgriculturalLandscapes/data_donnees/geojson/', 'https://agriculture.canada.ca/atlas/data_donnees/prairieAgriculturalLandscapes/supportdocument_documentdesupport/en/ISO_19131_Prairie_Agricultural_Landscapes_Data_Product_Specification.pdf', 'https://agriculture.canada.ca/atlas/data_donnees/prairieAgriculturalLandscapes/supportdocument_documentdesupport/fr/Paysages_agricoles_des_Prairies_ISO_19131.pdf', 'https://agriculture.canada.ca/atlas/rest/services/mapservices/aafc_prairie_agricultural_landscapes/MapServer', 'https://agriculture.canada.ca/atlas/rest/services/servicesdecarte/aac_paysages_agricoles_des_prairies/MapServer', 'https://agriculture.canada.ca/atlas/services/mapservices/aafc_prairie_agricultural_landscapes/MapServer/WMSServer?request=GetCapabilities&service=WMS', 'https://agriculture.canada.ca/atlas/services/servicesdecarte/aac_paysages_agricoles_des_prairies/MapServer/WMSServer?request=GetCapabilities&service=WMS', 'https://www.arcgis.com/home/item.html?id=45aa3265a6b5438098dabb2efa055f8e', 'https://www.arcgis.com/home/item.html?id=b2b5ea1716d24a7daaa30edfa7d9f8ce']","['-']","['English', 'French']","['ESRI REST', 'FGDB/GDB', 'GEOJSON', 'PDF', 'WMS']","['-']","['-']","['Dataset', 'Guide', 'Web Service']","['-']","unrestricted","{""type"": ""Polygon"", ""coordinates"": [[[-125.0, 48.0], [-91.0, 48.0], [-91.0, 60.0], [-125.0, 60.0], [-125.0, 48.0]]]}","1999-01-01 00:00:00","1999-01-01 00:00:00","Prairie Agricultural Landscapes","Farming","Open Data","-","-"
